fragmentationMode	lipidClass	additional_element	neutral_loss	diagnostic	countOfChains	countOfStandardAcylsChains	containsHydroxy	sialic	acylChain.AcylChainType	acylChain.NumCarbons	acylChain.NumDoubleBonds	acylChain.HydroxyPosition	C	H	N	O	P	S	desc	target_acylChains
Positive	PC		0	1									5	15	1	4	1	0	C5H15O4NP	
Positive	PC		0	0									5	13	1	3	1	0	C5H15O4NP-H2O	
Positive	PC		1	0									5	15	1	4	1	0	M-C5H15O4NP	
Positive	PC		1	0									5	14	1	4	1	0	M-C5H14O4NP	
Positive	PC		1	0									3	9	1	0	0	0	M-(CH2)3NH3	
Positive	PC		0	0									5	14	1	1	0	0	C5H14ON	
Positive	PC		0	0									2	6	0	4	1	0	C2H6O4P	
Positive	PC		1	0									0	2	0	1	0	0	M-H2O	
Positive	PC		0	0									8	19	1	5	1	0	C8H19O5NP	
Positive	PC		0	0									8	21	1	6	1	0	C8H21O6NP	
Positive	PC		0	0									5	12	1	0	0	0	C5H12N	
Positive	PC	Na	0	0									2	5	0	4	1	0	C2H5O4P+Na	
Positive	PC	K	0	0									2	5	0	4	1	0	C2H5O4P+K	
Positive	PC		0	0					Standard				X	2X-2Y-1	0	1	0	0	FA	
Positive	PC		0	0					Standard				X+3	2X-2Y+5	0	3	0	0	[RCOO+58]	
Positive	PC		0	0					Standard				X+3	2X-2Y+3	0	2	0	0	[RCOO+58]-H2O	
Positive	PC		0	0					Standard				X+3	2X-2Y+6	0	7	1	0	LPA-H	
Positive	PC		0	0					Standard				X+3	2X-2Y+4	0	6	1	0	LPA-H2O-H	
Positive	PC		1	0	2				Standard				X	2X-2Y-2	0	1	0	0	M-Ketene	
Positive	PC		1	0	2				Standard				X	2X-2Y	0	2	0	0	M-FA	
Positive	PC		0	0					Plasmalogen				X+3	2X-2Y+6	0	6	1	0	LPA(P-)	
Positive	PC		0	0					Plasmalogen				X+3	2X-2Y+4	0	5	1	0	LPA(P-)-H2O	
Positive	PC		0	0	2				Plasmalogen				X+5	2X-2Y+13	1	4	1	0	plasmalogen (rearranged)	
Positive	PC		0	0	2				Plasmalogen				X+5	2X-2Y+11	1	3	1	0	plasmalogen (rearranged)-H2O	
Positive	PC		0	0	2				Plasmalogen				X+8	2X-2Y+18	1	6	1	0	LPC(P-)	
Positive	PC		0	0	2				Plasmalogen				X+8	2X-2Y+16	1	5	1	0	LPC(P-)-H2O	
Positive	PC		1	0	2				Plasmalogen				X	2X-2Y	0	1	0	0	M-Ether	
Positive	PC		1	0	2				Plasmalogen				X+3	2X-2Y+9	1	1	0	0	M-Ether-C3H9N	
Positive	PC		0	0					Ether				X+3	2X-2Y+8	0	6	1	0	LPA(O-)	
Positive	PC		0	0					Ether				X+3	2X-2Y+6	0	5	1	0	LPA(O-)-H2O	
Positive	PC		0	0					Ether				X+3	2X-2Y+7	0	2	0	0	[RCO+58]	
